epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,11884.2,0.90592,0.10624,0.06569,0.6308,1.30983,0.97302,0.95684,0.99153,0.8121,0.97796,0.97352,0.99361,0.9925,0.75556,0.06472,0.00562,0.41408,1.30255,0.0007724,0.0007724,0.0007724
64,12071.8,0.90729,0.10749,0.06712,0.63997,1.31742,0.98137,0.96224,0.99289,0.826,0.98193,0.97039,0.99369,0.99217,0.7181,0.06707,0.00617,0.38383,1.27651,0.0007526,0.0007526,0.0007526
65,12259.8,0.88666,0.10874,0.0648,0.62068,1.29265,0.97218,0.96285,0.99205,0.82379,0.97337,0.97857,0.99357,0.99306,0.71415,0.05803,0.00387,0.40005,1.2759,0.0007328,0.0007328,0.0007328
66,12447.8,0.88447,0.10297,0.06703,0.61939,1.29496,0.97972,0.96939,0.99313,0.82016,0.98436,0.97398,0.99397,0.99372,0.7326,0.05851,0.00504,0.38713,1.2867,0.000713,0.000713,0.000713
67,12635.5,0.88394,0.11217,0.06161,0.6134,1.29579,0.98731,0.95282,0.99265,0.82325,0.98514,0.97143,0.99394,0.99304,0.72834,0.05621,0.004,0.39117,1.28858,0.0006932,0.0006932,0.0006932
68,12822.7,0.8829,0.10515,0.06464,0.62281,1.29132,0.97859,0.97958,0.99401,0.82572,0.98107,0.98571,0.99442,0.99396,0.71766,0.05544,0.00816,0.38284,1.26683,0.0006734,0.0006734,0.0006734
69,13010.3,0.85293,0.09599,0.05928,0.60679,1.27495,0.9794,0.97296,0.99404,0.83639,0.97707,0.98469,0.99427,0.99408,0.70404,0.05423,0.00997,0.37269,1.25489,0.0006536,0.0006536,0.0006536
70,13197.6,0.8652,0.10543,0.06774,0.60497,1.27565,0.9799,0.96837,0.99376,0.8319,0.98064,0.98187,0.99433,0.99377,0.68903,0.05544,0.00557,0.37301,1.24486,0.0006338,0.0006338,0.0006338
71,13384.5,0.86045,0.09357,0.05599,0.61124,1.2743,0.98252,0.97514,0.99424,0.83871,0.9841,0.97907,0.99446,0.99422,0.67809,0.05159,0.00691,0.37004,1.23186,0.000614,0.000614,0.000614
72,13572.5,0.86449,0.08784,0.05487,0.60785,1.27428,0.97874,0.975,0.99378,0.82869,0.98719,0.98292,0.99452,0.99412,0.70267,0.05168,0.00297,0.37845,1.25919,0.0005942,0.0005942,0.0005942
